month,total,timeRange.start,timeRange.end,,countryCode,country_Name,Two_Letter_Country_Code
2004-08-01T00:00:00.000Z,640723,2004-08-01T00:00:00.000Z,2004-09-01T00:00:00.000Z,,TW,"Cape Verde, Republic of",TD
2004-09-01T00:00:00.000Z,676749,2004-09-01T00:00:00.000Z,2004-10-01T00:00:00.000Z,,BG,Cayman Islands,CL
2004-10-01T00:00:00.000Z,743263,2004-10-01T00:00:00.000Z,2004-11-01T00:00:00.000Z,,CO,Central African Republic,CN
2004-11-01T00:00:00.000Z,949046,2004-11-01T00:00:00.000Z,2004-12-01T00:00:00.000Z,,LK,"Chad, Republic of",TW
2004-12-01T00:00:00.000Z,933992,2004-12-01T00:00:00.000Z,2005-01-01T00:00:00.000Z,,--,"Chile, Republic of",CX
2005-01-01T00:00:00.000Z,800882,2005-01-01T00:00:00.000Z,2005-02-01T00:00:00.000Z,,NP,"China, People's Republic of",CC
2005-02-01T00:00:00.000Z,790634,2005-02-01T00:00:00.000Z,2005-03-01T00:00:00.000Z,,MA,Christmas Island,CO
2005-03-01T00:00:00.000Z,1025952,2005-03-01T00:00:00.000Z,2005-04-01T00:00:00.000Z,,PE,Cocos (Keeling) Islands,KM
2005-04-01T00:00:00.000Z,1296647,2005-04-01T00:00:00.000Z,2005-05-01T00:00:00.000Z,,SK,"Colombia, Republic of",YT
2005-05-01T00:00:00.000Z,1367275,2005-05-01T00:00:00.000Z,2005-06-01T00:00:00.000Z,,AL,"Comoros, Union of the",CG
2005-06-01T00:00:00.000Z,1511740,2005-06-01T00:00:00.000Z,2005-07-01T00:00:00.000Z,,BA,"Congo, Democratic Republic of the",CD
2005-07-01T00:00:00.000Z,1835768,2005-07-01T00:00:00.000Z,2005-08-01T00:00:00.000Z,,GH,"Congo, Republic of the",CK
2005-08-01T00:00:00.000Z,1985319,2005-08-01T00:00:00.000Z,2005-09-01T00:00:00.000Z,,KE,Cook Islands,CR
2005-09-01T00:00:00.000Z,1889232,2005-09-01T00:00:00.000Z,2005-10-01T00:00:00.000Z,,KW,"Costa Rica, Republic of",HR
2005-10-01T00:00:00.000Z,2248602,2005-10-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,,MK,"Cote d'Ivoire, Republic of",CU
2005-11-01T00:00:00.000Z,2371097,2005-11-01T00:00:00.000Z,2005-12-01T00:00:00.000Z,,LB,Country_Name,CY
2005-12-01T00:00:00.000Z,3229219,2005-12-01T00:00:00.000Z,2006-01-01T00:00:00.000Z,,LT,"Croatia, Republic of",CY
2006-01-01T00:00:00.000Z,3672828,2006-01-01T00:00:00.000Z,2006-02-01T00:00:00.000Z,,DO,"Cuba, Republic of",CZ
