month,total,timeRange.start,timeRange.end,,countryCode,country_Name,Two_Letter_Country_Code
2016-09-01T00:00:00.000Z,4603044,2016-09-01T00:00:00.000Z,2016-10-01T00:00:00.000Z,,,"Puerto Rico, Commonwealth of",QA
2016-10-01T00:00:00.000Z,4925201,2016-10-01T00:00:00.000Z,2016-11-01T00:00:00.000Z,,,"Qatar, State of",RE
2016-11-01T00:00:00.000Z,4938009,2016-11-01T00:00:00.000Z,2016-12-01T00:00:00.000Z,,,Reunion,RO
2016-12-01T00:00:00.000Z,4994515,2016-12-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,,,Romania,RU
2017-01-01T00:00:00.000Z,5046957,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z,,,Russian Federation,RU
2017-02-01T00:00:00.000Z,4668017,2017-02-01T00:00:00.000Z,2017-03-01T00:00:00.000Z,,,Russian Federation,RW
2017-03-01T00:00:00.000Z,4976883,2017-03-01T00:00:00.000Z,2017-04-01T00:00:00.000Z,,,"Rwanda, Republic of",BL
2017-04-01T00:00:00.000Z,4612035,2017-04-01T00:00:00.000Z,2017-05-01T00:00:00.000Z,,,Saint Barthelemy,SH
2017-05-01T00:00:00.000Z,4908216,2017-05-01T00:00:00.000Z,2017-06-01T00:00:00.000Z,,,Saint Helena,KN
2017-06-01T00:00:00.000Z,4892676,2017-06-01T00:00:00.000Z,2017-07-01T00:00:00.000Z,,,"Saint Kitts and Nevis, Federation of",AI
2017-07-01T00:00:00.000Z,4685834,2017-07-01T00:00:00.000Z,2017-08-01T00:00:00.000Z,,,Saint Lucia,LC
2017-08-01T00:00:00.000Z,4714847,2017-08-01T00:00:00.000Z,2017-09-01T00:00:00.000Z,,,Saint Martin,MF
2017-09-01T00:00:00.000Z,4690520,2017-09-01T00:00:00.000Z,2017-10-01T00:00:00.000Z,,,Saint Pierre and Miquelon,PM
2017-10-01T00:00:00.000Z,4722540,2017-10-01T00:00:00.000Z,2017-11-01T00:00:00.000Z,,,Saint Vincent and the Grenadines,VC
2017-11-01T00:00:00.000Z,4646423,2017-11-01T00:00:00.000Z,2017-12-01T00:00:00.000Z,,,"Samoa, Independent State of",SM
2017-12-01T00:00:00.000Z,4828362,2017-12-01T00:00:00.000Z,2018-01-01T00:00:00.000Z,,,"San Marino, Republic of",ST
2018-01-01T00:00:00.000Z,5166261,2018-01-01T00:00:00.000Z,2018-02-01T00:00:00.000Z,,,"Sao Tome and Principe, Democratic Republic of",SA
2018-02-01T00:00:00.000Z,4592776,2018-02-01T00:00:00.000Z,2018-03-01T00:00:00.000Z,,,"Saudi Arabia, Kingdom of",SN
2018-03-01T00:00:00.000Z,5113762,2018-03-01T00:00:00.000Z,2018-04-01T00:00:00.000Z,,,"Senegal, Republic of",RS
2018-04-01T00:00:00.000Z,4804252,2018-04-01T00:00:00.000Z,2018-05-01T00:00:00.000Z,,,"Serbia, Republic of",SC
2018-05-01T00:00:00.000Z,4601086,2018-05-01T00:00:00.000Z,2018-06-01T00:00:00.000Z,,,"Seychelles, Republic of",SL
2018-06-01T00:00:00.000Z,4230992,2018-06-01T00:00:00.000Z,2018-07-01T00:00:00.000Z,,,"Sierra Leone, Republic of",SG
2018-07-01T00:00:00.000Z,4395399,2018-07-01T00:00:00.000Z,2018-08-01T00:00:00.000Z,,,"Singapore, Republic of",SK
2018-08-01T00:00:00.000Z,4406970,2018-08-01T00:00:00.000Z,2018-09-01T00:00:00.000Z,,,Sint Maarten (Netherlands),VN
2018-09-01T00:00:00.000Z,4230036,2018-09-01T00:00:00.000Z,2018-10-01T00:00:00.000Z,,,Slovakia (Slovak Republic),SI
2018-10-01T00:00:00.000Z,4578987,2018-10-01T00:00:00.000Z,2018-11-01T00:00:00.000Z,,,"Slovenia, Republic of",SO
2018-11-01T00:00:00.000Z,4529896,2018-11-01T00:00:00.000Z,2018-12-01T00:00:00.000Z,,,Solomon Islands,ZA
2018-12-01T00:00:00.000Z,4599039,2018-12-01T00:00:00.000Z,2019-01-01T00:00:00.000Z,,,"Somalia, Somali Republic",ZW
2019-01-01T00:00:00.000Z,4768012,2019-01-01T00:00:00.000Z,2019-02-01T00:00:00.000Z,,,"South Africa, Republic of",ES
2019-02-01T00:00:00.000Z,4217170,2019-02-01T00:00:00.000Z,2019-03-01T00:00:00.000Z,,,South Georgia and the South Sandwich Islands,SS
2019-03-01T00:00:00.000Z,4598305,2019-03-01T00:00:00.000Z,2019-04-01T00:00:00.000Z,,,South Sudan,EH
2019-04-01T00:00:00.000Z,4380153,2019-04-01T00:00:00.000Z,2019-05-01T00:00:00.000Z,,,"Spain, Kingdom of",SD
2019-05-01T00:00:00.000Z,4590393,2019-05-01T00:00:00.000Z,2019-06-01T00:00:00.000Z,,,Spratly Islands,SR
2019-06-01T00:00:00.000Z,4347353,2019-06-01T00:00:00.000Z,2019-07-01T00:00:00.000Z,,,"Sri Lanka, Democratic Socialist Republic of",SJ
2019-07-01T00:00:00.000Z,4355089,2019-07-01T00:00:00.000Z,2019-08-01T00:00:00.000Z,,,"Sudan, Republic of",SZ
2019-08-01T00:00:00.000Z,4456405,2019-08-01T00:00:00.000Z,2019-09-01T00:00:00.000Z,,,"Suriname, Republic of",SE
2019-09-01T00:00:00.000Z,5353868,2019-09-01T00:00:00.000Z,2019-10-01T00:00:00.000Z,,,Svalbard & Jan Mayen Islands,CH
2019-10-01T00:00:00.000Z,4875278,2019-10-01T00:00:00.000Z,2019-11-01T00:00:00.000Z,,,"Swaziland, Kingdom of",SY
2019-11-01T00:00:00.000Z,4550366,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z,,,"Sweden, Kingdom of",TJ
2019-12-01T00:00:00.000Z,4598628,2019-12-01T00:00:00.000Z,2020-01-01T00:00:00.000Z,,,"Switzerland, Swiss Confederation",TH
2020-01-01T00:00:00.000Z,4964905,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z,,,Syrian Arab Republic,TG
2020-02-01T00:00:00.000Z,4568828,2020-02-01T00:00:00.000Z,2020-03-01T00:00:00.000Z,,,Taiwan,TK
2020-03-01T00:00:00.000Z,4974171,2020-03-01T00:00:00.000Z,2020-04-01T00:00:00.000Z,,,"Tajikistan, Republic of",TO
2020-04-01T00:00:00.000Z,5545176,2020-04-01T00:00:00.000Z,2020-05-01T00:00:00.000Z,,,"Tanzania, United Republic of",TT
2020-05-01T00:00:00.000Z,5726071,2020-05-01T00:00:00.000Z,2020-06-01T00:00:00.000Z,,,"Thailand, Kingdom of",AE
2020-06-01T00:00:00.000Z,5142315,2020-06-01T00:00:00.000Z,2020-07-01T00:00:00.000Z,,,"Timor-Leste, Democratic Republic of",TN
2020-07-01T00:00:00.000Z,5010558,2020-07-01T00:00:00.000Z,2020-08-01T00:00:00.000Z,,,"Togo, Togolese Republic",TR
2020-08-01T00:00:00.000Z,5359631,2020-08-01T00:00:00.000Z,2020-09-01T00:00:00.000Z,,,Tokelau,TR
2020-09-01T00:00:00.000Z,5035418,2020-09-01T00:00:00.000Z,2020-10-01T00:00:00.000Z,,,"Tonga, Kingdom of",TM
2020-10-01T00:00:00.000Z,5122842,2020-10-01T00:00:00.000Z,2020-11-01T00:00:00.000Z,,,"Trinidad and Tobago, Republic of",TC
2020-11-01T00:00:00.000Z,5056449,2020-11-01T00:00:00.000Z,2020-12-01T00:00:00.000Z,,,"Tunisia, Tunisian Republic",TV
2020-12-01T00:00:00.000Z,5782019,2020-12-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,,,"Turkey, Republic of",UG
2021-01-01T00:00:00.000Z,6404747,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z,,,"Turkey, Republic of",UA
2021-02-01T00:00:00.000Z,5354232,2021-02-01T00:00:00.000Z,2021-03-01T00:00:00.000Z,,,Turkmenistan,MK
,6735271,,,,,Turks and Caicos Islands,EG
,,,,,,Tuvalu,GB
,,,,,,"Uganda, Republic of",GG
,,,,,,Ukraine,JE
,,,,,,United Arab Emirates,IM
,,,,,,United Kingdom of Great Britain & Northern Ireland,TZ
,,,,,,United Nations Neutral Zone,US
,,,,,,United States Minor Outlying Islands,VI
,,,,,,United States Minor Outlying Islands,BF
,,,,,,United States of America,UY
,,,,,,United States Virgin Islands,UZ
,,,,,,"Uruguay, Eastern Republic of",VE
,,,,,,"Uzbekistan, Republic of",WF
,,,,,,"Vanuatu, Republic of",WS
,,,,,,"Venezuela, Bolivarian Republic of",YE
,,,,,,"Vietnam, Socialist Republic of",ZM
,,,,,,Wallis and Futuna,XX
,,,,,,Western Sahara,XE
,,,,,,Yemen,XD
,,,,,,"Zambia, Republic of",XS
,,,,,,"Zimbabwe, Republic of",
